Location	2010 Population	2014 Population
Otsego town	3,899	3,900
Pittsfield town	1,301	1,366
Plainfield town	982	915
Richfield town	2,423	2,388
Roseboom town	684	711
Springfield town	1,355	1,358
Unadilla town	4,548	4,392
Westford town	784	868
Worcester town	2,207	2,220
Putnam County	95,745	99,710
Carmel town	33,006	34,305
Kent town	14,009	13,507
Patterson town	11,306	12,023
Philipstown town	9,422	9,662
Putnam Valley town	10,686	11,809
Southeast town	17,316	18,404
Queens County	2,229,379	2,230,722
Rensselaer County	152,540	159,429
Berlin town	1,901	1,880
Brunswick town	11,664	11,941
East Greenbush town	15,429	16,473
Grafton town	1,987	2,130
Hoosick town	6,759	6,924
Nassau town	4,818	4,789
North Greenbush town	10,815	12,075
Petersburgh town	1,563	1,525
Pittstown town	5,644	5,735
Poestenkill town	4,044	4,530
Rensselaer city	7,892	9,392
Sand Lake town	7,987	8,530
Schaghticoke town	7,456	7,679
Schodack town	12,536	12,794
Stephentown town	2,873	2,903
Troy city	49,172	50,129
Richmond County	443,729	468,730
Rockland County	286,761	311,687
Clarkstown town	82,056	84,187
Haverstraw town	33,825	36,634
Orangetown town	47,781	49,212
Ramapo town	108,852	126,595
Stony Point town	14,247	15,059
St. Lawrence County	111,919	111,944
Brasher town	2,337	2,512
Canton town	10,334	10,995
Clare town	112	105
Clifton town	791	751
Colton town	1,453	1,451
De Kalb town	2,213	2,434
De Peyster town	936	998
Edwards town	1,148	1,156
Fine town	1,622	1,512
Fowler town	2,179	2,202
Gouverneur town	7,419	7,085
Hammond town	1,209	1,191
Hermon town	1,069	1,108
Hopkinton town	1,020	1,077
Lawrence town	1,545	1,826
Lisbon town	4,047	4,102
Louisville town	3,195	3,145
Macomb town	846	906
Madrid town	1,828	1,735
Massena town	13,121	12,883
Morristown town	2,050	1,974
Norfolk town	4,565	4,668
Ogdensburg city	12,364	11,128
Oswegatchie town	4,370	4,397
Parishville town	2,049	2,153
Piercefield town	305	310
Pierrepont town	2,674	2,589
Pitcairn town	783	846
Potsdam town	15,945	16,041
Rossie town	785	877
Russell town	1,801	1,856
Stockholm town	3,592	3,665
Waddington town	2,212	2,266
Saratoga County	200,635	219,607
Ballston town	8,729	9,776
Charlton town	3,958	4,133
Clifton Park town	33,110	36,705
Corinth town	6,259	6,531
Day town	920	856
Edinburg town	1,384	1,214
Galway town	3,589	3,545
Greenfield town	7,362	7,775
Hadley town	1,971	2,048
Halfmoon town	18,359	21,535
Malta town	13,005	14,765
Mechanicville city	5,019	5,196
Milton town	17,103	18,575
Moreau town	13,549	14,728
Northumberland town	4,603	5,087
Providence town	1,837	1,995
Saratoga town	5,114	5,674
Saratoga Springs city	26,186	26,586
Stillwater town	7,522	8,287
Waterford town	8,515	8,423
Wilton town	12,541	16,173
Schenectady County	146,551	154,727
Duanesburg town	5,808	6,122
Glenville town	28,179	29,480
Niskayuna town	20,295	21,781
Princetown town	2,132	2,115
Rotterdam town	28,316	29,094
Schenectady city	61,821	66,135
Schoharie County	31,582	32,749
Blenheim town	330	377
Broome town	959	973
Carlisle town	1,758	1,948
Cobleskill town	6,407	6,625
Conesville town	727	734
Esperance town	2,043	2,076
Fulton town	1,493	1,442
Gilboa town	1,204	1,307
Jefferson town	1,285	1,410
Middleburgh town	3,515	3,746
Richmondville town	2,412	2,610
Schoharie town	3,299	3,205
Seward town	1,637	1,763
Sharon town	1,843	1,846
